Korean,Spanish
저것,que
아니,no
ㅏ,a
그만큼,la
그만큼,el
와이,y
그것은이다,es
안에,en
그것,lo
ㅏ,un
~에 의해,por
무엇,qué
나,me
ㅏ,una
그만큼,los
알아요,se
차,te
~와 함께,con
~을 위한,para
이것,está
나,mi
하지만,pero
예,sí
예,si
오른쪽,bien
이것의,eso
그것의,su
그만큼,las
나,yo
의,del
뭐,como
여기,aquí
당신의,tu
~로,al
...을 더한,más
너,le
이것,esto
모두,todo
이미,ya
~이다,estoy
지금,ahora
매우,muy
그는 가지고있다,ha
~이다,esta
그래서,así
우리는 간다,vamos
무엇,algo
거기 있습니다,hay
괜찮아,bueno
나는 가지고있다,tengo
그만큼,él
언제,cuando
~이다,estás
그,sé
당신의,tú
우리를,nos
어느,nada
뭐,cómo
동쪽,este
어느 하나,o
그,he
~이다,ser
가지다,tiene
내가 할 수 있습니까?,puedo
그녀,ella
원해요,quiero
하다,hacer
그것은,fue
고맙습니다,gracias
시각,vez
그것은,era
~이다,soy
하나의,sólo
여러분,todos
왜냐하면,porque
~이다,son
당신은 가지고 있습니다,tienes
제 생각에는,creo
나 간다,voy
알잖아,sabes
나는 ~였다,estaba
~할 수 있다,puede
~이다,eres
저것,ese
너,usted
그 다음에,entonces
안녕하세요,hola
뿐,solo
진실,verdad
집,casa
그래서,tan
누구,quién
그들의,sus
날씨,tiempo
둘,dos
이것,esa
절대,nunca
어디,dónde
간다,va
오,oh
호의,favor
많이,mucho
나의,mí
당신은 원합니다,quieres
나는 느낀다,siento
아저씨,señor
더 나은,mejor
하다,hace
당신은 가지고 있습니다,has
말하다,decir
또한,también
~에,sobre
하느님,dios
없이,sin
우리는 가지고 있습니다,tenemos
그렇습니다,están
너,ti
당신은 할 수있다,puedes
보다,ver
남자들,hombre
삶,vida
누구,alguien
물건,cosas
영원히,siempre
~까지,hasta
거기,ahí
토고,ir
연령,años
~ 전에,antes
~이다,estar
어느 것도 아니다,ni
약간,poco
낮,día
하나,uno
밤,noche
완료,hecho
나의,mis
이었다,estamos
다른,otra
합의,acuerdo
일했다,trabajo
우리를,nosotros
보인다,parece
사람들,gente
~이다,sea
아빠,padre
바라보다,mira
같은,mismo
말했다,dijo
아무도,nadie
원한다,quiere
~할 수 있었다,podría
말하다,hablar
너가,vas
그들,ellos
씨.,sr.
그런,tal
발생합니다,pasa
밖의,fuera
~ 후에,después
그들은 가지고 있습니다,han
~부터,desde
돈,dinero
세계,mundo
확신하는,claro
순간,momento
그들을,les
가지고 있습니다,tener
상태,estado
다른,otro
거기있었습니다,había
아침,mañana
나는 가지고 있었다,tenía
어머니,madre
좋아요,vale
장소,lugar
만들기,haciendo
어디,donde
확실한,seguro
알고 있습니다,sabe
~할 수 있다,podemos
당신의,tus
기다리다,espera
새로운,nuevo
계속 ~ 이다,sido
물건,cosa
저기,allí
더 적은,menos
유형,tipo
녀석,amigo
엄청난,gran
우리의,nuestro
여성,mujer
가슴,mamá
나중에,luego
아버지,papá
날,días
그는 말한다,dice
